id,utmx,utmy,elevation_m,longitude,latitude
ML01,736409,9822514,1120,101.1248861,-1.604656289
ML02,736597,9819406,1496,101.1266044,-1.632753851
ML03,736880,9820854,1335,101.1291332,-1.619659843
ML04,737140,9819252,1571,101.1314843,-1.634140956
ML05,736266,9822083,1150,101.1236054,-1.608554297
ML06,738310,9819117,1396,101.1419969,-1.635350219
ML07,737443,9822803,1112,101.1341729,-1.602033727
ML08,738248,9822160,1151,101.141411,-1.607839419
ML09,737882,9820985,1270,101.138134,-1.618465946
ML10,736549,9821365,1220,101.1261547,-1.61504305
ML11,738467,9820490,1312,101.1433943,-1.622935592
ML12,736852,9823380,989,101.128858,-1.596822655
ML13,737178,9821541,1222,101.131804,-1.613445886
ML14,737553,9820011,1398,101.1351875,-1.627274934
ML15,739331,9823317,953,101.1511297,-1.597368889
